Decision,Neighbourhood,Cooking,Room_type,Accommodates,Bath,Bath_shared,No_review,Price,Bedrooms,Essentials,Parking,Property_type2,Instant_bookable,Beds,Host_response_time
1,28806,5,Entire home/apt,4,2,0,0,5.46383180502561,2,5,1,Entire house,f,2,within an hour
0,28801,5,Entire home/apt,6,2.5,0,0,5.79605775076537,2,5,1,Entire residential home,f,3,
1,28804,3,Entire home/apt,4,1,0,0,4.89783979995091,2,4,0,Entire rental unit,f,2,within an hour
0,28801,5,Entire home/apt,5,1,0,0,5.42053499927229,2,5,1,Entire residential home,f,3,within an hour
0,28806,5,Entire home/apt,6,1.5,0,0,4.90527477843843,3,5,1,Entire house,f,3,within an hour
1,28803,5,Entire home/apt,10,2.5,0,0,5.78382518232974,3,5,1,Entire house,f,5,within an hour
1,28801,3,Private room,4,1,0,0,4.77912349311153,1,5,1,Private small room,t,2,within an hour
1,28803,5,Entire home/apt,4,1,0,0,5.04342511691925,2,5,1,Entire guest suite,t,2,within an hour
0,28803,5,Entire home/apt,6,2,0,0,4.49980967033027,3,5,1,Private small room,f,4,within an hour
0,28801,5,Entire home/apt,2,1.5,0,0,4.31748811353631,1,5,1,Entire apartment,f,1,
1,28805,1,Private room,2,1,0,0,4.76217393479776,1,4,1,Private room in residential home,t,1,within an hour
0,28804,5,Entire home/apt,4,1,0,0,5.2257466737132,3,5,1,Private small room,f,3,within an hour
1,28806,0,Private room,2,1,0,0,3.25809653802148,1,2,1,Private small room,t,0,within an hour
1,28804,4,Entire home/apt,2,1,0,0,5.01063529409626,1,5,1,Entire guest suite,f,2,within an hour
0,28805,5,Entire home/apt,8,1,0,0,4.38202663467388,3,5,1,Private small room,t,3,within an hour
0,28801,5,Entire home/apt,6,2.5,0,0,5.88887795833288,3,5,1,Private small room,f,4,
1,28801,4,Entire home/apt,6,2,0,0,5.9427993751267,2,4,1,Private small room,t,3,within an hour
1,28806,3,Entire home/apt,2,1,0,0,4.69134788222914,1,5,1,Entire guest suite,t,1,within an hour
0,28804,5,Entire home/apt,2,1,0,0,4.7361984483945,1,5,1,Private small room,f,1,within a few hours
1,28801,5,Entire home/apt,6,3,0,0,6.28785856016178,3,5,1,Private small room,t,4,within an hour
0,28804,0,Entire home/apt,4,1.5,0,1,4.47733681447821,2,4,1,Entire house,f,2,within a few hours
0,28803,0,Entire home/apt,4,2,0,0,4.55387689160054,2,5,1,Private small room,f,2,within a day
0,28806,1,Entire home/apt,3,1.5,0,0,4.74493212836325,2,4,1,Private small room,f,2,within an hour
0,28806,5,Entire home/apt,4,1,0,0,5.04985600724954,2,5,1,Entire house,t,2,within a few hours
1,28804,4,Entire home/apt,4,1,0,0,5.38449506278909,2,3,1,Entire rental unit,t,2,within an hour
0,28803,5,Entire home/apt,8,3,0,0,5.60947179518496,4,5,1,Entire house,f,4,within an hour
1,28801,1,Private room,2,1,0,0,5.27299955856375,1,5,1,Private small room,t,1,within an hour
0,28805,5,Entire home/apt,12,4.5,0,0,5.93224518744801,4,5,1,Private small room,t,4,within an hour
1,28805,5,Entire home/apt,4,2,0,0,5.38449506278909,2,5,1,Private small room,t,2,within an hour
1,28803,5,Entire home/apt,4,1,0,0,5.24702407216049,1,5,1,Private small room,t,2,within an hour
0,28803,5,Entire home/apt,10,2,0,0,4.89783979995091,3,5,1,Entire house,t,5,within an hour
1,28801,1,Entire home/apt,4,3,0,0,5.22035582507832,2,4,1,Entire apartment,t,2,within an hour
1,28804,5,Entire home/apt,8,3,0,0,5.89715386763674,3,5,1,Entire residential home,t,3,within an hour
1,28801,5,Entire home/apt,4,1,0,0,5.01063529409626,1,5,1,Entire house,t,3,within an hour
0,28803,5,Entire home/apt,4,1.5,0,1,4.0943445622221,2,5,1,Entire house,f,2,within an hour
0,28704,5,Entire home/apt,11,3,0,0,6.18001665365257,4,5,1,Entire house,t,7,within an hour
1,28803,3,Entire home/apt,2,1,0,0,5.0998664278242,1,5,1,Entire guest suite,t,1,within an hour
1,28804,5,Entire home/apt,4,1,0,0,4.8283137373023,1,5,0,Entire house,t,2,within an hour
0,28803,3,Private room,2,1,0,0,4.57471097850338,1,5,1,Private room in residential home,f,1,within an hour
0,28732,0,Entire home/apt,4,1,0,0,5.7037824746562,1,5,1,Private small room,f,0,
1,28801,1,Entire home/apt,2,1,0,0,5.4249500174814,1,4,1,Entire apartment,t,1,within an hour
1,28801,0,Hotel room,2,1,0,1,6.08221891037645,1,4,1,Other,t,1,within a few hours
0,28803,0,Entire home/apt,2,1,0,0,5.01727983681492,1,4,1,Entire apartment,f,1,
1,28804,5,Entire home/apt,12,2.5,0,0,6.14846829591765,4,5,1,Entire residential home,f,6,within an hour
0,28804,5,Entire home/apt,12,3,0,0,6.45833828334479,5,5,1,Entire house,t,7,within an hour
0,28801,0,Private room,2,1,0,0,4.8283137373023,1,2,1,Private room in house,f,1,
0,28803,5,Entire home/apt,2,1,0,0,4.74493212836325,1,5,0,Entire residential home,f,1,within a few hours
1,28806,4,Entire home/apt,7,3,0,0,6.23832462503951,3,3,0,Entire house,t,4,within an hour
1,28806,5,Entire home/apt,4,1,0,0,5.42053499927229,2,5,1,Entire house,t,2,within an hour
0,28801,5,Entire home/apt,4,1,0,0,5.27811465923052,2,5,1,Private small room,t,2,within an hour
1,28806,5,Shared room,3,2.5,1,0,3.49650756146648,1,5,1,Share small room,t,1,within an hour
1,28806,5,Entire home/apt,6,2,0,0,5.27811465923052,3,5,1,Entire house,t,3,within an hour
0,28801,3,Private room,2,1,0,0,3.73766961828337,1,5,1,Private small room,f,2,within an hour
1,28801,5,Entire home/apt,4,1,0,0,5.49306144334055,1,5,1,Private small room,t,2,within an hour
1,28806,1,Entire home/apt,8,2,0,0,4.62497281328427,5,4,1,Entire residential home,t,5,within an hour
1,28804,3,Entire home/apt,4,2,0,0,5.4971682252932,2,5,1,Entire rental unit,t,4,within an hour
1,28806,5,Entire home/apt,10,3.5,0,0,6.22653666928747,4,5,1,Entire house,f,4,within an hour
0,28804,5,Entire home/apt,4,1,0,0,4.58496747867057,2,5,1,Entire guest suite,f,2,within an hour
0,28806,0,Entire home/apt,4,2.5,0,1,5.00394630594546,3,5,1,Private small room,f,3,within a day
1,28804,5,Entire home/apt,8,2.5,0,0,6.01859321449623,4,5,1,Private small room,f,6,
1,28806,5,Entire home/apt,4,1,0,0,4.93447393313069,2,5,1,Private small room,t,2,within an hour
0,28801,5,Entire home/apt,3,1,0,0,5.04342511691925,1,5,1,Entire rental unit,t,1,within an hour
0,28806,3,Entire home/apt,5,2,0,0,5.28826703069454,2,5,1,Entire house,f,3,within a few hours
1,28804,5,Entire home/apt,2,1,0,0,5.06890420222023,1,5,1,Entire rental unit,f,1,within an hour
0,28806,2,Entire home/apt,2,1,0,0,4.77912349311153,1,5,1,Entire guest suite,f,1,within an hour
0,28801,5,Entire home/apt,4,1,0,0,5.63835466933375,1,5,1,Private small room,t,2,within an hour
0,28806,5,Entire home/apt,2,1,0,0,4.68213122712422,1,5,1,Entire guest suite,f,1,within an hour
1,28801,0,Private room,2,1,0,1,5.66642668811243,1,3,1,Other,t,1,within an hour
1,28801,4,Entire home/apt,4,1,0,0,5.5834963087817,1,4,1,Entire apartment,t,2,within an hour
1,28803,5,Entire home/apt,2,1,0,0,4.75359019110636,1,5,1,Entire rental unit,t,2,
0,28806,5,Entire home/apt,4,1,0,0,5.03043792139244,2,5,1,Private small room,f,2,within an hour
0,28806,5,Entire home/apt,4,2,0,0,4.55387689160054,2,5,1,Entire house,t,2,within an hour
1,28801,0,Private room,2,1,0,0,4.39444915467244,1,4,1,Private room in house,t,1,within an hour
1,28801,0,Hotel room,2,1,0,1,5.97380961186926,1,4,1,Other,t,1,within a few hours
1,28804,0,Private room,2,1,0,0,5.7037824746562,1,5,1,Private small room,t,1,within a few hours
1,28804,5,Entire home/apt,6,2.5,0,0,4.8283137373023,3,5,1,Entire residential home,t,3,within an hour
1,28803,4,Entire home/apt,2,1,0,0,4.65396035015752,1,5,1,Entire guest suite,t,2,within an hour
0,28715,5,Entire home/apt,8,3.5,0,1,5.85793315448346,3,5,1,Entire residential home,t,7,within an hour
1,28803,3,Entire home/apt,2,1,0,0,4.58496747867057,1,5,1,Entire guest suite,t,1,within an hour
1,28806,3,Entire home/apt,4,1,0,0,4.76217393479776,2,5,1,Entire residential home,t,2,within an hour
0,28805,0,Entire home/apt,4,2,0,1,5.28826703069454,3,2,1,Private small room,f,3,within an hour
1,28804,3,Private room,2,1,0,1,6.68085467879022,1,5,0,Private small room,t,1,
0,28801,3,Entire home/apt,4,2.5,0,0,4.98360662170834,2,5,1,Entire guest suite,f,2,within an hour
1,28801,5,Entire home/apt,8,2,0,0,5.70044357339069,2,5,1,Entire apartment,t,2,within an hour
0,28803,5,Private room,3,1.5,1,0,4.07753744390572,1,4,1,Private room in house,f,2,within an hour
1,28803,3,Entire home/apt,2,1,0,0,4.60517018598809,1,5,1,Entire guesthouse,f,1,within an hour
1,28806,4,Entire home/apt,16,4,0,0,5.24702407216049,6,3,1,Entire house,t,9,within an hour
1,28715,5,Entire home/apt,6,2.5,0,0,4.79579054559674,3,5,1,Private small room,t,3,within an hour
0,28805,5,Entire home/apt,7,1.5,0,0,5.68357976733868,3,5,1,Private small room,t,5,within an hour
0,28805,4,Entire home/apt,6,2,0,0,5.7037824746562,3,4,1,Private small room,f,4,within a day
0,28803,5,Entire home/apt,10,3,0,0,5.71702770140622,4,5,1,Entire residential home,t,6,within an hour
1,28803,4,Entire home/apt,6,2,0,0,5.70711026474888,3,5,1,Entire house,t,3,within an hour
0,28804,5,Entire home/apt,2,1,0,0,5.63478960316925,1,5,1,Private small room,t,1,within an hour
0,28806,5,Entire home/apt,6,2,0,0,5.59471137960184,3,5,1,Private small room,f,3,within an hour
0,28704,5,Entire home/apt,4,1,0,0,4.59511985013459,2,5,1,Entire house,t,3,within an hour
0,28804,5,Private room,2,1,0,0,4.27666611901606,1,5,1,Private room in house,f,1,within a few hours
1,28804,5,Entire home/apt,4,1,0,0,5.63478960316925,2,5,1,Entire house,t,3,within an hour
1,28803,2,Private room,2,1,0,0,4.0943445622221,1,5,1,Private small room,f,1,within an hour
1,28803,4,Entire home/apt,2,1,0,0,4.60517018598809,1,5,1,Entire guest suite,t,1,within an hour
1,28806,2,Entire home/apt,2,1,0,0,4.44265125649032,1,5,1,Other,t,1,within an hour
1,28801,5,Entire home/apt,2,1,0,0,5.01063529409626,1,5,1,Private small room,f,1,within a day
1,28801,1,Private room,2,1,1,1,4.9416424226093,1,5,1,Private small room,t,0,within an hour
1,28804,5,Entire home/apt,8,2,0,0,5.19295685089021,3,5,1,Private small room,t,4,within an hour
1,28806,3,Private room,2,1,0,0,4.4188406077966,1,5,1,Private room in house,t,1,within an hour
1,28803,5,Entire home/apt,8,3,0,0,5.7268477475872,4,5,1,Entire house,f,4,within a few hours
1,28806,5,Entire home/apt,6,2,0,0,5.32787616878958,3,5,1,Entire residential home,f,3,
1,28806,3,Private room,2,1,0,1,5.01063529409626,1,5,1,Private room in house,f,1,within an hour
0,28804,5,Entire home/apt,7,2.5,0,0,5.54126354515843,3,5,1,Entire house,t,4,within an hour
1,28804,5,Entire home/apt,10,3,0,0,5.52146091786225,5,5,1,Entire house,t,5,within an hour
1,28801,5,Entire home/apt,6,2,0,0,5.9427993751267,2,5,1,Private small room,t,3,within an hour
1,28732,5,Entire home/apt,8,2,0,0,5.64897423816121,3,4,1,Entire residential home,t,3,within an hour
1,28801,5,Entire home/apt,6,2,0,0,6.11368217983223,2,4,1,Private small room,t,3,within an hour
1,28805,2,Entire home/apt,2,1,0,0,4.24849524204936,1,5,1,Entire rental unit,t,1,within an hour
1,28806,4,Entire home/apt,2,1,0,0,4.70953020131233,1,5,1,Private small room,f,1,within an hour
1,28704,2,Entire home/apt,2,1,0,0,4.82028156560504,1,3,1,Private small room,t,1,within an hour
1,28801,4,Entire home/apt,4,1,0,0,5.96614673912369,1,2,0,Entire apartment,t,1,within an hour
1,28801,0,Hotel room,2,1,0,1,6.03787091992214,1,4,1,Other,t,1,within an hour
0,28805,5,Entire home/apt,4,1,0,0,4.9416424226093,1,5,1,Private small room,t,3,within an hour
1,28801,0,Entire home/apt,2,1,0,0,4.70953020131233,1,4,1,Entire apartment,t,1,within an hour
1,28801,5,Entire home/apt,3,1,0,0,5.47646355193151,1,5,0,Private small room,f,1,within an hour
1,28704,5,Entire home/apt,8,2,0,0,5.6021188208797,4,5,1,Entire house,t,5,within an hour
1,28801,1,Shared room,1,1,1,0,3.55534806148941,1,5,0,Share small room,t,1,within an hour
0,28803,5,Private room,2,1,0,0,3.87120101090789,1,5,1,Private room in house,f,1,within an hour
0,28804,5,Private room,2,1,0,0,4.27666611901606,1,5,1,Private room in residential home,f,1,
0,28806,5,Entire home/apt,2,2,0,1,4.59511985013459,1,5,1,Entire residential home,t,1,within an hour
1,28805,5,Entire home/apt,2,1,0,0,5.24174701505964,1,5,1,Entire rental unit,f,1,within an hour
1,28803,2,Entire home/apt,2,1,0,0,4.0943445622221,1,5,1,Entire guest suite,t,1,within an hour
1,28801,3,Private room,4,1,0,0,4.79579054559674,1,5,1,Private small room,t,2,within an hour
1,28803,5,Private room,2,1,1,0,3.78418963391826,1,5,1,Private small room,f,1,within an hour
0,28806,5,Entire home/apt,6,1.5,0,0,5.61677109766657,2,5,1,Entire house,f,2,within an hour
0,28803,4,Entire home/apt,2,1,0,0,5.22035582507832,1,5,1,Entire guesthouse,f,1,
1,28806,2,Entire home/apt,2,1,0,0,4.26267987704132,1,3,1,Entire guest suite,t,1,within an hour
0,28803,2,Entire home/apt,4,1,0,0,4.47733681447821,1,5,1,Entire guest suite,f,2,within an hour
1,28806,5,Entire home/apt,2,1,0,0,4.59511985013459,1,5,1,Entire apartment,t,1,within an hour
1,28803,5,Entire home/apt,4,1.5,0,0,4.60517018598809,1,5,1,Other,t,1,within an hour
1,28806,5,Entire home/apt,4,1,0,0,5.31320597904179,2,5,1,Entire residential home,t,3,within an hour
1,28801,5,Entire home/apt,4,2,0,0,5.87493073085203,2,5,1,Entire house,t,2,within an hour
0,28801,2,Entire home/apt,6,2.5,0,0,5.0998664278242,3,5,1,Private small room,f,4,
0,28805,4,Entire home/apt,2,1,0,0,4.46590811865458,1,5,1,Entire apartment,t,1,within an hour
1,28801,0,Private room,2,1,0,0,5.39362754635236,1,5,1,Private small room,t,1,within an hour
0,28715,5,Entire home/apt,4,1,0,0,5.04985600724954,1,5,1,Entire guest suite,f,1,
0,28801,5,Entire home/apt,6,1,0,0,4.79579054559674,2,5,1,Private small room,t,2,within an hour
